ID Localidade;Pais;Continente
1;Estados Unidos;America do Norte
2;Canada;America do Norte
3;Reino Unido;Europa
4;Franca;Europa
5;Italia;Europa
6;Alemanha;Europa
7;Holanda;Europa
8;Dinamarca;Europa
9;Suecia;Europa
10;Espanha;Europa
11;Eslovenia;Europa
12;Romenia;Europa
13;Suica;Europa
14;Polonia;Europa
15;Malta;Europa
16;Irlanda;Europa
17;Grecia;Europa
18;Singapura;asia
19;Australia;Oceania
20;Armenia;asia
21;india;asia
22;Butao;asia
23;China;asia
24;Ira;asia
25;Siria;asia
26;Tailandia;asia
27;Russia;Europa
28;Turcomenistao;asia
29;Paquistao;asia
30;Japao;asia
31;Coreia do Sul;asia
32;Quirguistao;asia
33;Indonesia;asia
34;Portugal;Europa
